Time,Open,High,Low,Close,RSI
2005-01-03,102.52,103.48,102.37,102.79,100.0
2005-01-04,102.79,104.43,102.46,104.27,100.0
2005-01-05,104.27,105.02,103.78,103.91,80.4927389639477
2005-01-06,103.93,105.18,103.85,104.93,87.99725065228617
2005-01-07,104.93,105.16,103.88,104.76,81.82281343004672
2005-01-10,104.76,104.87,104.19,104.23,61.242504588849705
2005-01-11,104.24,104.35,103.15,103.24,39.573015828340246
2005-01-12,103.24,103.55,102.14,102.33,28.853349678299523
2005-01-13,102.33,102.88,102.25,102.56,34.06230044951476
2005-01-14,102.56,103.22,102.02,102.05,28.68837131168076
2005-01-17,102.05,102.2,101.69,102.05,28.68837131168076
2005-01-18,102.05,103.01,102.02,102.48,42.29425917757962
2005-01-19,102.47,102.67,102.05,102.47,42.29425917757962
2005-01-20,102.47,103.48,102.44,103.39,62.613168065237616
2005-01-21,103.39,103.93,102.64,102.7,47.990004884529355
2005-01-24,102.75,103.01,102.56,102.73,47.496083226609876
2005-01-25,102.73,104.35,102.51,104.26,72.48918248040677
2005-01-26,104.26,104.3,102.85,102.93,49.06339772513152
2005-01-27,102.94,103.54,102.76,103.18,52.274671831777155
2005-01-28,103.2,103.78,102.38,103.28,53.40451431458541
2005-01-31,103.52,103.8,103.35,103.57,54.44007537508664
2005-02-01,103.57,104.11,103.5,103.69,57.08148470131162
2005-02-02,103.7,104.1,103.36,103.95,62.33125743035672
2005-02-03,103.95,104.74,103.57,104.6,72.44339174978663
2005-02-04,104.6,104.66,103.49,104.09,58.27950915681803
2005-02-07,104.23,105.06,104.06,104.85,69.43847216783175
2005-02-08,104.85,105.96,104.75,105.61,77.82676100599588
2005-02-09,105.61,105.98,105.33,105.83,79.6888083299964
2005-02-10,105.83,106.88,105.37,105.54,70.66317018960139
2005-02-11,105.54,105.94,105.49,105.72,72.86429237174491
2005-02-14,105.63,105.73,104.66,105.05,53.13170844555566
2005-02-15,105.05,105.37,104.31,104.31,37.98712666217712
2005-02-16,104.33,105.73,104.31,105.46,58.719311322322824
2005-02-17,105.46,105.8,105.18,105.42,57.92829864867985
2005-02-18,105.42,105.9,105.16,105.65,61.3799802777717
2005-02-21,105.68,105.8,105.42,105.52,56.432272278616686
2005-02-22,105.52,105.61,103.83,104.22,32.14234702799784
2005-02-23,104.22,105.12,103.94,104.94,46.781033991122065
2005-02-24,104.95,105.59,104.62,105.38,53.66855588476696
2005-02-25,105.38,105.59,105.04,105.23,51.01129834742999
2005-02-28,105.24,105.33,104.11,104.48,36.82138103098573
2005-03-01,104.48,104.8,104.18,104.4,35.61798885750846
2005-03-02,104.41,105.17,104.29,104.73,44.056479959321024
2005-03-03,104.73,105.25,104.65,105.1,52.38297403505384
2005-03-04,105.1,105.6,104.35,104.78,45.60878852397175
2005-03-07,104.78,105.37,104.53,105.18,56.428649653267286
2005-03-08,105.18,105.25,104.35,104.66,43.46047887779957
2005-03-09,104.65,104.78,103.71,103.75,29.78885835610627
2005-03-10,103.75,104.34,103.67,104.1,38.47366187273211
2005-03-11,104.11,104.3,103.73,104.0,36.82195362665225
2005-03-14,103.92,105.19,103.72,105.12,63.25688071789581
2005-03-15,105.11,105.19,104.16,104.36,48.593917094466285
2005-03-16,104.37,104.71,103.91,104.24,46.44091359824036
2005-03-17,104.24,104.88,104.06,104.62,53.40396973343591
2005-03-18,104.62,105.06,104.51,104.75,55.67848569455601
2005-03-21,104.67,105.5,104.67,105.24,66.64514498133364
2005-03-22,105.24,105.28,104.86,105.09,61.987880936616925
2005-03-23,105.09,106.19,104.98,106.09,75.27747700992484
2005-03-24,106.09,106.58,105.91,106.32,77.3765355666649
2005-03-25,106.32,106.52,106.27,106.39,78.03154768840551
2005-03-28,106.29,107.37,106.29,107.3,86.61877733735226
2005-03-29,107.3,107.59,106.95,107.58,88.10596992536142
2005-03-30,107.58,107.7,107.12,107.33,79.05433576160706
2005-03-31,107.33,107.6,106.66,107.2,74.4642507323308
2005-04-01,107.2,107.79,106.77,107.56,78.4603846630676
2005-04-04,107.65,108.43,107.57,108.3,84.97993683396706
2005-04-05,108.31,108.9,108.19,108.36,85.37289186042759
2005-04-06,108.36,108.79,107.87,108.56,86.94879525255186
2005-04-07,108.56,108.79,108.11,108.46,81.86059796687498
2005-04-08,108.46,108.88,108.21,108.24,71.27303060455773
2005-04-11,108.31,108.53,107.65,107.74,47.05190284394582
2005-04-12,107.75,108.48,107.52,108.21,59.77952363509628
2005-04-13,108.21,108.35,107.16,107.44,40.82526855808333
2005-04-14,107.44,108.43,107.26,108.2,56.52426730080502
2005-04-15,108.2,108.56,107.47,107.8,48.68111759233139
2005-04-18,107.67,108.05,107.28,107.41,42.757045581649564
2005-04-19,107.41,107.6,106.91,107.02,35.31831357190398
2005-04-20,107.03,107.49,106.61,106.76,31.00884360253165
2005-04-21,106.76,107.44,106.71,107.02,39.24564852544585
2005-04-22,107.03,107.05,105.76,106.01,25.477060510645423
2005-04-25,106.26,106.26,105.28,105.64,19.190431056131803
2005-04-26,105.64,106.17,105.58,106.07,32.51621199571433
2005-04-27,106.07,106.4,105.75,106.05,32.230970497426036
2005-04-28,106.05,106.3,105.54,105.93,30.385615369978357
2005-04-29,105.93,106.15,104.62,104.75,18.419835840425588
2005-05-02,104.77,105.43,104.77,105.04,28.339124873846153
2005-05-03,105.04,105.36,104.92,105.09,30.153775621391322
2005-05-04,105.09,105.26,104.21,104.77,25.403374932009946
2005-05-05,104.78,104.78,104.23,104.36,20.51006430831379
2005-05-06,104.36,105.1,104.33,105.06,41.99642223476106
2005-05-09,104.85,105.69,104.8,105.63,60.34460979628298
2005-05-10,105.63,105.97,105.39,105.59,59.2358529105103
2005-05-11,105.59,105.95,104.9,105.63,60.082131009517575
2005-05-12,105.63,106.92,105.63,106.74,76.02142335327964
2005-05-13,106.73,107.43,106.67,107.32,80.73846334915115
2005-05-16,107.35,107.79,106.91,107.02,69.06476779100558
2005-05-17,107.02,107.53,106.56,107.15,70.97248938360934
2005-05-18,107.14,107.79,106.94,106.98,65.25748601075874
2005-05-19,106.98,107.65,106.76,107.56,74.01084182631048
2005-05-20,107.57,108.29,107.35,108.16,79.94235191612533
2005-05-23,108.1,108.3,107.55,107.8,67.84704337499457
2005-05-24,107.8,107.81,107.24,107.5,57.76294123436821
2005-05-25,107.5,107.9,107.28,107.77,63.41041485242276
2005-05-26,107.76,108.28,107.61,107.97,67.33058839185507
2005-05-27,107.97,108.09,107.75,107.92,65.40545686018605
2005-05-30,107.86,108.17,107.75,107.98,68.70447841908152
2005-05-31,107.99,108.39,107.71,108.03,69.81172046425155
2005-06-01,108.04,108.85,108.02,108.47,79.01917093426077
2005-06-02,108.47,108.87,108.11,108.31,69.86982370752797
2005-06-03,108.32,108.39,107.48,107.7,46.03668291865225
2005-06-06,107.82,107.88,106.72,106.93,26.273637413946677
2005-06-07,106.93,107.04,106.54,106.61,22.30175202856316
2005-06-08,106.62,107.0,106.51,106.96,34.45029260255845
2005-06-09,106.96,107.76,106.94,107.44,47.75652651157837
2005-06-10,107.44,108.67,107.34,108.67,67.35191532291354
2005-06-13,108.42,109.68,108.42,109.66,79.34808262622154
2005-06-14,109.66,109.68,109.09,109.38,72.41541932152433
2005-06-15,109.38,109.73,109.15,109.22,68.47102470766038
2005-06-16,109.22,109.41,108.67,109.03,63.71572940672287
2005-06-17,109.03,109.17,108.58,108.58,53.551998335679464
2005-06-20,108.45,109.61,108.45,109.41,69.49764934962167
2005-06-21,109.41,109.5,108.29,108.39,48.91190269350125
2005-06-22,108.39,109.15,108.16,109.0,57.582004878019355
2005-06-23,109.0,109.01,108.43,108.78,53.783650211587755
2005-06-24,108.78,109.4,108.77,109.05,57.731948453514974
2005-06-27,109.18,109.45,109.1,109.28,59.69121693421312
2005-06-28,109.28,110.07,109.21,109.89,69.60710361154992
2005-06-29,109.9,110.65,109.72,110.36,74.96562049033619
2005-06-30,110.37,110.96,110.01,110.93,79.93488641467201
2005-07-01,110.93,111.79,110.62,111.78,85.11096412802894
2005-07-04,111.59,111.89,111.33,111.59,85.11096412802894
2005-07-05,111.59,112.13,111.46,111.78,86.4916294971077
2005-07-06,111.77,112.3,111.46,112.14,88.8209213022391
2005-07-07,112.14,112.34,111.5,112.07,85.59886472246276
2005-07-08,112.07,112.59,111.8,112.23,86.85635215356136
2005-07-11,112.2,112.3,111.69,111.95,71.80643713121306
2005-07-12,111.95,111.96,110.8,111.0,40.805181696954044
2005-07-13,111.0,112.28,110.76,112.14,62.95195152160459
2005-07-14,112.14,112.34,111.66,112.24,64.30369121019048
2005-07-15,112.24,112.41,111.76,112.16,62.208538788815716
2005-07-18,112.17,112.37,111.51,111.75,49.26339021321557
2005-07-19,111.75,112.99,111.7,112.88,69.17585825874791
2005-07-20,112.88,113.72,112.66,113.4,74.49155745665512
2005-07-21,113.4,113.4,110.15,110.34,34.313010907419304
2005-07-22,110.34,111.47,109.88,111.34,45.414706136501906
2005-07-25,111.35,111.99,111.21,111.55,48.10918129416236
2005-07-26,111.56,112.62,111.36,112.22,56.31930844817853
2005-07-27,112.22,112.8,112.18,112.27,56.915186722191855
2005-07-28,112.27,112.88,111.98,112.16,55.01024280165851
2005-07-29,112.16,112.45,111.96,112.5,59.80789657926147
2005-08-01,112.54,112.78,111.73,112.1,49.34651146498024
2005-08-02,112.09,112.39,111.12,111.39,37.352935932492244
2005-08-03,111.39,111.95,111.02,111.13,33.82917203227969
2005-08-04,111.13,111.61,110.76,111.11,33.54826880572434
2005-08-05,111.12,112.2,111.1,111.93,52.12523972984644
2005-08-08,111.97,112.62,111.56,111.92,50.77912365947074
2005-08-09,111.92,112.24,111.67,112.08,55.06389593608832
2005-08-10,112.08,112.2,110.41,110.6,28.543649892888247
2005-08-11,110.6,110.75,109.74,109.91,22.67011429808301
2005-08-12,109.91,109.97,109.31,109.38,19.173374340333122
2005-08-15,109.38,109.82,109.25,109.33,18.75415153262336
