Time,Open,High,Low,Close,RSI,dif,dem,osc,osc_dummy,dif_dummy,dem_dummy,cross,cross_dummy,rol_cross,RSI_dummy,bali,state
2005-01-03,102.52,103.48,102.37,102.79,100.0,0.0,0.0,0.0,0,0,0,1,0,0,3,0,30000
2005-01-04,102.79,104.43,102.46,104.27,100.0,0.03320512820511112,0.018447293447283956,0.014757834757827167,0,0,0,0,0,0,3,0,30000
2005-01-05,104.27,105.02,103.78,103.91,80.4927389639477,0.031146345655443497,0.023651823040791962,0.0074945226146515345,0,0,0,0,0,0,3,0,30000
2005-01-06,103.93,105.18,103.85,104.93,87.99725065228617,0.0662733646385476,0.03809001463894767,0.028183349999599934,0,0,0,0,0,0,3,0,30000
2005-01-07,104.93,105.16,103.88,104.76,81.82281343004672,0.07720094894757779,0.04972463336474196,0.027476315582835822,0,0,0,0,0,0,3,0,30000
2005-01-10,104.76,104.87,104.19,104.23,61.242504588849705,0.059655677563611675,0.05241649849801179,0.007239179065599885,0,0,0,0,0,0,2,0,20000
2005-01-11,104.24,104.35,103.15,103.24,39.573015828340246,0.00252750754258102,0.03979092580436243,-0.03726341826178141,1,0,0,1,2,0,1,0,11002
2005-01-12,103.24,103.55,102.14,102.33,28.853349678299523,-0.07909874900911973,0.011219501225852264,-0.09031825023497199,1,1,0,0,0,0,0,0,01100
2005-01-13,102.33,102.88,102.25,102.56,34.06230044951476,-0.12300873837341442,-0.019787888031308837,-0.10322085034210558,1,1,1,0,0,0,1,0,11110
2005-01-14,102.56,103.22,102.02,102.05,28.68837131168076,-0.17863743467376025,-0.05537940768274568,-0.12325802699101457,1,1,1,0,0,0,0,0,01110
2005-01-17,102.05,102.2,101.69,102.05,28.68837131168076,-0.21633037009203804,-0.09059455859438835,-0.12573581149764967,1,1,1,0,0,0,0,0,01110
2005-01-18,102.05,103.01,102.02,102.48,42.29425917757962,-0.21740149665674835,-0.11782737081254158,-0.09957412584420677,1,1,1,0,0,0,1,0,11110
2005-01-19,102.47,102.67,102.05,102.47,42.29425917757962,-0.21587683477368103,-0.138578043923239,-0.07729879085044203,1,1,1,0,0,0,1,0,11110
2005-01-20,102.47,103.48,102.44,103.39,62.613168065237616,-0.15861213820141984,-0.14276919139398764,-0.0158429468074322,1,1,1,0,0,0,2,0,21110
2005-01-21,103.39,103.93,102.64,102.7,47.99000488452936,-0.15434792673292463,-0.1451693878675885,-0.009178538865336122,1,1,1,0,0,0,1,0,11110
2005-01-24,102.75,103.01,102.56,102.73,47.496083226609876,-0.147352793822634,-0.14561871653625238,-0.0017340772863816134,1,1,1,0,0,0,1,0,11110
2005-01-25,102.73,104.35,102.51,104.26,72.48918248040677,-0.04550602982409657,-0.12513492521910605,0.07962889539500947,0,1,1,1,1,0,3,0,30111
2005-01-26,104.26,104.3,102.85,102.93,49.06339772513152,-0.05080554871808829,-0.10999633736441733,0.05919078864632904,0,1,1,0,0,0,1,0,10110
2005-01-27,102.94,103.54,102.76,103.18,52.274671831777155,-0.03822311789598132,-0.09543179631345027,0.05720867841746895,0,1,1,0,0,0,2,0,20110
2005-01-28,103.2,103.78,102.38,103.28,53.40451431458541,-0.021545560785696694,-0.08048219200497349,0.058936631219276794,0,1,1,0,0,0,2,0,20110
2005-01-31,103.52,103.8,103.35,103.57,54.44007537508664,0.010784398055434963,-0.062058949573824136,0.07284334762925909,0,0,1,0,0,0,2,0,20010
2005-02-01,103.57,104.11,103.5,103.69,57.08148470131162,0.04373525048480076,-0.04074282431921319,0.08447807480401395,0,0,1,0,0,0,2,0,20010
2005-02-02,103.7,104.1,103.36,103.95,62.33125743035672,0.08643557845648786,-0.015156106440426198,0.10159168489691406,0,0,1,0,0,0,2,0,20010
2005-02-03,103.95,104.74,103.57,104.6,72.44339174978663,0.1632652483038015,0.020697478275171002,0.14256777002863052,0,0,0,0,0,0,3,0,30000
2005-02-04,104.6,104.66,103.49,104.09,58.27950915681803,0.1856431953034985,0.053811723763235175,0.1318314715402633,0,0,0,0,0,0,2,0,20000
2005-02-07,104.23,105.06,104.06,104.85,69.43847216783175,0.2542522555856266,0.0940213562850957,0.1602308993005309,0,0,0,0,0,0,2,0,20000
2005-02-08,104.85,105.96,104.75,105.61,77.82676100599588,0.3586077894407538,0.14706689916904306,0.21154089027171072,0,0,0,0,0,0,3,0,30000
2005-02-09,105.61,105.98,105.33,105.83,79.6888083299964,0.4515282440371493,0.20807717918710547,0.24345106485004384,0,0,0,0,0,0,3,0,30000
2005-02-10,105.83,106.88,105.37,105.54,70.66317018960139,0.4978717488171469,0.26612591918745937,0.23174582962968754,0,0,0,0,0,0,3,0,30000
2005-02-11,105.54,105.94,105.49,105.72,72.86429237174491,0.5413452908385921,0.3212380189926839,0.22010727184590817,0,0,0,0,0,0,3,0,30000
2005-02-14,105.63,105.73,104.66,105.05,53.13170844555566,0.5200253818364615,0.3610349044878341,0.15899047734862742,0,0,0,0,0,0,2,0,20000
2005-02-15,105.05,105.37,104.31,104.31,37.98712666217712,0.44287983265769526,0.3774168692514723,0.06546296340622298,0,0,0,0,0,0,1,0,10000
2005-02-16,104.33,105.73,104.31,105.46,58.71931132232282,0.4626244035065099,0.39446918429117744,0.06815521921533246,0,0,0,0,0,0,2,0,20000
2005-02-17,105.46,105.8,105.18,105.42,57.92829864867985,0.46974539552977035,0.4095320643264632,0.06021333120330713,0,0,0,0,0,0,2,0,20000
2005-02-18,105.42,105.9,105.16,105.65,61.3799802777717,0.4871145875107601,0.4250548657596599,0.062059721751100194,0,0,0,0,0,0,2,0,20000
2005-02-21,105.68,105.8,105.42,105.52,56.432272278616686,0.4853164516426034,0.4371110954064561,0.0482053562361473,0,0,0,0,0,0,2,0,20000
2005-02-22,105.52,105.61,103.83,104.22,32.14234702799784,0.38013594569252973,0.42571310637653914,-0.04557716068400941,1,0,0,1,2,0,1,0,11002
2005-02-23,104.22,105.12,103.94,104.94,46.78103399112207,0.3480668820061936,0.41018063553448764,-0.06211375352829401,1,0,0,0,0,0,1,0,11000
2005-02-24,104.95,105.59,104.62,105.38,53.66855588476696,0.3524662910434273,0.3986358484294974,-0.04616955738607009,1,0,0,0,0,0,2,0,21000
2005-02-25,105.38,105.59,105.04,105.23,51.01129834742999,0.34040519926013246,0.38698817035364597,-0.0465829710935135,1,0,0,0,0,0,2,0,21000
2005-02-28,105.24,105.33,104.11,104.48,36.82138103098573,0.26958041005231337,0.3635041210409154,-0.09392371098860203,1,0,0,0,0,0,1,0,11000
2005-03-01,104.48,104.8,104.18,104.4,35.61798885750846,0.20489355279232768,0.3317793085426261,-0.12688575575029842,1,0,0,0,0,0,1,0,11000
2005-03-02,104.41,105.17,104.29,104.73,44.056479959321024,0.17733613586997876,0.30088857169348643,-0.12355243582350767,1,0,0,0,0,0,1,0,11000
2005-03-03,104.73,105.25,104.65,105.1,52.38297403505384,0.18231998295252083,0.2771735627773948,-0.09485357982487397,1,0,0,0,0,0,2,0,21000
2005-03-04,105.1,105.6,104.35,104.78,45.60878852397175,0.15934763399097562,0.2536073505668028,-0.09425971657582716,1,0,0,0,0,0,1,0,11000
2005-03-07,104.78,105.37,104.53,105.18,56.428649653267286,0.1705863817788753,0.23700257821734658,-0.06641619643847127,1,0,0,0,0,0,2,0,21000
2005-03-08,105.18,105.25,104.35,104.66,43.46047887779957,0.13698627576725642,0.21699876010226507,-0.08001248433500865,1,0,0,0,0,0,1,0,11000
2005-03-09,104.65,104.78,103.71,103.75,29.78885835610627,0.03818550598049342,0.1812353117263611,-0.14304980574586768,1,0,0,0,0,0,0,0,01000
